transaction_id;created_at;type;source_type;card_name;card_last4;reference;amount;currency;status;gateway_ref;merchant_name;mcc;notes
WLF15-CD-0091;1/8/26 15:23;Chi tiêu;Th_;Volcano Subs;2;Facebook Ads;-296,06;USD;Success;;;;
WLF15-CD-0100;1/8/26 08:52;Chi tiêu;Th_;Volcano Ads;1;Namecheap;-27,71;USD;Success;;;;
WLF15-CD-0200;31/7/26 00:33;Chi tiêu;Ví;Volcano EU;4;FX fee for SHOPEE *ORDER;-0,49;EUR;Success;;;;
WLF15-CD-0199;31/7/26 00:32;Chi tiêu;Th_;Volcano EU;4;Shopee;-48,86;EUR;Success;;;;
WLF15-CD-0072;30/7/26 05:52;Chi tiêu;Th_;Volcano Subs;2;Lazada;-101,04;USD;Success;;;;
WLF15-CD-0127;29/7/26 10:33;Chi tiêu;Th_;Zenith Main;3;The Coffee House;-32,32;USD;Success;;;;
WLF15-CD-0168;29/7/26 05:51;Chi tiêu;Th_;Volcano Ads;1;Facebook Ads;-570,66;USD;Success;;;;
WLF15-CD-0062;29/7/26 01:46;Chi tiêu;Th_;Volcano Ads;1;Subscription NORDVPN *MONTHLY;-3,99;USD;Success;;;;
WLF15-CD-0123;28/7/26 22:39;Chi tiêu;Th_;Volcano Ads;1;Uber;-27,27;USD;Success;;;;
WLF15-CD-0159;28/7/26 10:06;Chi tiêu;Th_;Volcano Subs;2;Shopee;-30,66;USD;Success;;;;
WLF15-CD-0056;28/7/26 07:15;Chi tiêu;Th_;Volcano Subs;2;Subscription CLOUDWAYS HOSTING;-16;USD;Success;;;;
WLF15-CD-0163;27/7/26 19:01;Chi tiêu;Th_;Volcano Subs;2;Vultr;-52,98;USD;Success;;;;
WLF15-CD-0050;24/7/26 23:53;Chi tiêu;Th_;Zenith Main;3;Subscription FIGMA.COM;-15;USD;Success;;;;
WLF15-WL-0037;23/7/26 02:42;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);410,96;USD;Success;;;;
WLF15-CD-0113;22/7/26 11:40;Chi tiêu;Ví;Volcano EU;4;FX fee for GRAB* RIDE HCM;-0,18;EUR;Success;;;;
WLF15-CD-0112;22/7/26 11:39;Chi tiêu;Th_;Volcano EU;4;Grab;-18,04;EUR;Success;;;;
WLF15-CD-0044;22/7/26 04:13;Chi tiêu;Th_;Volcano Ads;1;Subscription CANVA* PRO MONTHLY;-12,99;USD;Success;;;;
WLF15-WL-0143;21/7/26 17:15;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1689,29;USD;Success;;;;
WLF15-WL-0036;21/7/26 15:15;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);977,74;USD;Success;;;;
WLF15-WL-0058;21/7/26 00:00;Rút ti_n;Ví;-;;N_p vào th_ Volcano EU (VC04) — ti_n _ã r_i ví;-300;USD;Success;;;;
WLF15-CD-0219;21/7/26 00:00;N_p ti_n;Th_;Volcano EU;4;N_p th_ (ch_a vào th_);300;EUR;Pending;;;;
WLF15-CD-0198;20/7/26 13:11;Chi tiêu;Ví;Volcano EU;4;FX fee for SQ *THE COFFEE HOUSE;-0,3;EUR;Success;;;;
WLF15-CD-0197;20/7/26 13:10;Chi tiêu;Th_;Volcano EU;4;The Coffee House;-30,23;EUR;Success;;;;
WLF15-CD-0191;19/7/26 20:31;Chi tiêu;Ví;Volcano EU;4;FX fee for UBER *EATS;-0,18;EUR;Success;;;;
WLF15-CD-0190;19/7/26 20:30;Chi tiêu;Th_;Volcano EU;4;Uber;-18,25;EUR;Success;;;;
WLF15-CD-0089;19/7/26 17:48;Chi tiêu;Th_;Volcano Ads;1;Namecheap;-22,89;USD;Success;;;;
WLF15-CD-0037;19/7/26 01:14;Chi tiêu;Th_;Volcano Ads;1;Subscription PADDLE.NET* NOTION;-10;USD;Success;;;;
WLF15-CD-0188;17/7/26 21:15;Chi tiêu;Th_;Volcano Ads;1;Namecheap;-22,55;USD;Success;;;;
WLF15-CD-0030;16/7/26 00:21;Chi tiêu;Th_;Zenith Main;3;Subscription ADOBE *CREATIVE CLD;-54,99;USD;Success;;;;
WLF15-CD-0017;12/7/26 22:14;Chi tiêu;Th_;Volcano Subs;2;Subscription GOOGLE *YOUTUBEPREM;-13,99;USD;Success;;;;
WLF15-CD-0186;12/7/26 19:21;Chi tiêu;Th_;Volcano Subs;2;Grab;-16,41;USD;Success;;;;
WLF15-WL-0142;12/7/26 08:41;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2014,08;USD;Success;;;;
WLF15-WL-0054;11/7/26 23:41;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);2164,6;USD;Success;;;;
WLF15-CD-0180;11/7/26 19:54;Chi tiêu;Ví;Volcano EU;4;FX fee for ALIEXPRESS.COM;-2,37;EUR;Success;;;;
WLF15-CD-0179;11/7/26 19:53;Chi tiêu;Th_;Volcano EU;4;AliExpress;-237,21;EUR;Success;;;;
WLF15-CD-0011;9/7/26 22:19;Chi tiêu;Th_;Volcano Subs;2;Subscription Spotify P0F2K;-9,99;USD;Pending;;;;
WLF15-WL-0141;9/7/26 08:58;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1679,05;USD;Success;;;;
WLF15-CD-0105;9/7/26 00:34;Chi tiêu;Ví;Volcano EU;4;FX fee for NAMECHEAP* DOMAIN;-0,29;EUR;Success;;;;
WLF15-CD-0104;9/7/26 00:33;Chi tiêu;Th_;Volcano EU;4;Namecheap;-29,03;EUR;Success;;;;
WLF15-WL-0053;8/7/26 23:58;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);2044,27;USD;Success;;;;
WLF15-CD-0122;7/7/26 07:49;Chi tiêu;Th_;Volcano Ads;1;Booking.com;-580,23;USD;Success;;;;
WLF15-CD-0005;7/7/26 02:43;Chi tiêu;Th_;Volcano Subs;2;Subscription NETFLIX.COM;-17,99;USD;Success;;;;
WLF15-WL-0139;7/7/26 01:16;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2130,11;USD;Success;;;;
WLF15-WL-0140;6/7/26 15:29;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2538,49;USD;Success;;;;
WLF15-WL-0052;6/7/26 11:29;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);2550,57;USD;Success;;;;
WLF15-CD-0214;6/7/26 10:17;Chi tiêu;Th_;Volcano Ads;1;Shopee order (DUPLICATE);-42,3;USD;Success;;;;
WLF15-WL-0035;6/7/26 10:16;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);2298,57;USD;Success;;;;
WLF15-CD-0213;6/7/26 10:14;Chi tiêu;Th_;Volcano Ads;1;Shopee order;-42,3;USD;Success;;;;
WLF15-CD-0097;5/7/26 22:09;Chi tiêu;Ví;Volcano EU;4;FX fee for BOOKING.COM 9931;-2,2;EUR;Success;;;;
WLF15-CD-0096;5/7/26 22:08;Chi tiêu;Th_;Volcano EU;4;Booking.com;-220,34;EUR;Success;;;;
WLF15-CD-0023;4/7/26 07:41;Chi tiêu;Th_;Zenith Main;3;Subscription OPENAI *CHATGPT SUBSCR;-20;USD;Success;;;;
WLF15-CD-0109;3/7/26 07:36;Chi tiêu;Th_;Volcano Ads;1;Apple;-29,25;USD;Success;;;;
WLF15-CD-0147;2/7/26 09:44;Chi tiêu;Th_;Zenith Main;3;Booking.com;-168,74;USD;Success;;;;
WLF15-CD-0063;2/7/26 07:51;Chi tiêu;Th_;Zenith Main;3;Shopee;-149,71;USD;Success;;;;
WLF15-CD-0146;2/7/26 01:10;Chi tiêu;Th_;Volcano Ads;1;Booking.com;-588,8;USD;Success;;;;
WLF15-WL-0138;1/7/26 20:45;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2284,47;USD;Success;;;;
WLF15-WL-0018;1/7/26 01:45;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);2486,79;USD;Success;;;;
WLF15-CD-0161;30/6/26 17:11;Chi tiêu;Th_;Volcano Subs;2;Steam;-31,72;USD;Success;;;;
WLF15-CD-0081;30/6/26 09:24;Chi tiêu;Ví;Volcano EU;4;FX fee for STEAMGAMES.COM;-0,53;EUR;Success;;;;
WLF15-CD-0080;30/6/26 09:23;Chi tiêu;Th_;Volcano EU;4;Steam;-52,54;EUR;Success;;;;
WLF15-WL-0137;29/6/26 07:09;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2503,56;USD;Success;;;;
WLF15-CD-0061;29/6/26 05:56;Chi tiêu;Th_;Volcano Ads;1;Subscription NORDVPN *MONTHLY;-3,99;USD;Success;;;;
WLF15-CD-0217;29/6/26 05:02;Chi tiêu;Ví;Volcano EU;4;FX fee (DUPLICATE);-0,66;EUR;Success;;;;
WLF15-CD-0216;29/6/26 05:01;Chi tiêu;Ví;Volcano EU;4;FX fee;-0,66;EUR;Success;;;;
WLF15-CD-0215;29/6/26 05:00;Chi tiêu;Th_;Volcano EU;4;AliExpress (EUR);-65,88;EUR;Success;;;;
WLF15-WL-0034;28/6/26 13:09;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);1499,9;USD;Success;;;;
WLF15-CD-0055;27/6/26 23:59;Chi tiêu;Th_;Volcano Subs;2;Subscription CLOUDWAYS HOSTING;-16;USD;Success;;;;
WLF15-CD-0093;26/6/26 05:01;Chi tiêu;Th_;Volcano Ads;1;Amazon;-66,22;USD;Success;;;;
WLF15-WL-0051;26/6/26 03:18;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);468,87;USD;Success;;;;
WLF15-CD-0094;25/6/26 08:50;Chi tiêu;Th_;Zenith Main;3;Booking.com;-585,37;USD;Success;;;;
WLF15-CD-0170;25/6/26 02:17;Chi tiêu;Th_;Zenith Main;3;Lazada;-75,53;USD;Success;;;;
WLF15-CD-0049;25/6/26 00:12;Chi tiêu;Th_;Zenith Main;3;Subscription FIGMA.COM;-15;USD;Success;;;;
WLF15-WL-0136;24/6/26 13:21;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2591,12;USD;Success;;;;
WLF15-CD-0160;24/6/26 09:12;Chi tiêu;Th_;Volcano Subs;2;Apple;-17,8;USD;Success;;;;
WLF15-CD-0150;23/6/26 19:35;Chi tiêu;Th_;Volcano Subs;2;AliExpress;-24,61;USD;Success;;;;
WLF15-WL-0033;23/6/26 16:21;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);2246,52;USD;Success;;;;
WLF15-CD-0210;23/6/26 00:00;Hoàn ti_n;Th_;Zenith Main;3;Hotel refund;88;USD;Success;;;;
WLF15-CD-0043;22/6/26 03:40;Chi tiêu;Th_;Volcano Ads;1;Subscription CANVA* PRO MONTHLY;-12,99;USD;Success;;;;
WLF15-CD-0189;21/6/26 00:48;Chi tiêu;Th_;Volcano Ads;1;Amazon;-180,94;USD;Success;;;;
WLF15-CD-0196;21/6/26 00:13;Chi tiêu;Th_;Volcano Ads;1;Shopee;-190,22;USD;Pending;;;;
WLF15-CD-0139;20/6/26 08:09;Chi tiêu;Th_;Zenith Main;3;The Coffee House;-30,55;USD;Success;;;;
WLF15-CD-0036;19/6/26 01:11;Chi tiêu;Th_;Volcano Ads;1;Subscription PADDLE.NET* NOTION;-10;USD;Success;;;;
WLF15-WL-0050;17/6/26 05:36;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);282,76;USD;Success;;;;
WLF15-CD-0117;16/6/26 20:09;Chi tiêu;Th_;Volcano Ads;1;Lazada;-77,79;USD;Success;;;;
WLF15-CD-0029;16/6/26 05:27;Chi tiêu;Th_;Zenith Main;3;Subscription ADOBE *CREATIVE CLD;-54,99;USD;Success;;;;
WLF15-CD-0076;15/6/26 14:16;Chi tiêu;Th_;Zenith Main;3;Steam;-31,33;USD;Success;;;;
WLF15-CD-0128;15/6/26 06:45;Chi tiêu;Th_;Volcano Ads;1;Booking.com;-480,85;USD;Success;;;;
WLF15-CD-0152;15/6/26 03:56;Chi tiêu;Th_;Zenith Main;3;Namecheap;-20,46;USD;Success;;;;
WLF15-CD-0129;13/6/26 19:23;Chi tiêu;Th_;Zenith Main;3;Apple;-57,82;USD;Success;;;;
WLF15-CD-0016;13/6/26 04:31;Chi tiêu;Th_;Volcano Subs;2;Subscription GOOGLE *YOUTUBEPREM;-13,99;USD;Success;;;;
WLF15-CD-0143;11/6/26 12:38;Chi tiêu;Ví;Volcano EU;4;FX fee for NAMECHEAP* DOMAIN;-0,14;EUR;Success;;;;
WLF15-CD-0142;11/6/26 12:37;Chi tiêu;Th_;Volcano EU;4;Namecheap;-13,9;EUR;Success;;;;
WLF15-CD-0137;11/6/26 09:38;Chi tiêu;Th_;Volcano Subs;2;Apple;-55,07;USD;Success;;;;
WLF15-CD-0145;10/6/26 07:05;Chi tiêu;Th_;Volcano Subs;2;Shopee;-202,39;USD;Success;;;;
WLF15-CD-0010;9/6/26 22:11;Chi tiêu;Th_;Volcano Subs;2;Subscription Spotify P0F2K;-9,99;USD;Success;;;;
WLF15-CD-0088;9/6/26 10:06;Chi tiêu;Th_;Volcano Ads;1;Amazon;-116,78;USD;Success;;;;
WLF15-WL-0133;9/6/26 00:10;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2211,88;USD;Success;;;;
WLF15-WL-0134;8/6/26 22:10;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2182,41;USD;Success;;;;
WLF15-WL-0132;8/6/26 17:22;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1143,15;USD;Success;;;;
WLF15-WL-0135;8/6/26 17:21;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2552,15;USD;Success;;;;
WLF15-WL-0049;8/6/26 12:31;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);226,22;USD;Success;;;;
WLF15-WL-0017;8/6/26 07:21;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);2219,48;USD;Success;;;;
WLF15-WL-0059;8/6/26 07:10;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví (BÚT TOÁN TRÙNG);2597,84;USD;Success;;;;
WLF15-WL-0032;8/6/26 04:10;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);2597,84;USD;Success;;;;
WLF15-WL-0048;8/6/26 01:22;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);831,75;USD;Success;;;;
WLF15-WL-0016;7/6/26 13:37;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);153,6;USD;Success;;;;
WLF15-CD-0004;7/6/26 07:21;Chi tiêu;Th_;Volcano Subs;2;Subscription NETFLIX.COM;-17,99;USD;Success;;;;
WLF15-CD-0102;5/6/26 11:50;Chi tiêu;Th_;Zenith Main;3;Grab;-20,92;USD;Success;;;;
WLF15-CD-0022;4/6/26 07:11;Chi tiêu;Th_;Zenith Main;3;Subscription OPENAI *CHATGPT SUBSCR;-20;USD;Success;;;;
WLF15-CD-0212;4/6/26 03:00;N_p ti_n;Th_;Zenith Main;3;Top-up declined;300;USD;Failed;;;;
WLF15-WL-0015;3/6/26 04:59;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);183,4;USD;Success;;;;
WLF15-WL-0131;1/6/26 22:03;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1499,2;USD;Success;;;;
WLF15-CD-0169;1/6/26 07:53;Chi tiêu;Th_;Zenith Main;3;Uber;-32,42;USD;Success;;;;
WLF15-WL-0014;1/6/26 07:03;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);1524,41;USD;Success;;;;
WLF15-CD-0073;29/5/26 09:49;Chi tiêu;Th_;Volcano Ads;1;Lazada;-85,16;USD;Success;;;;
WLF15-CD-0060;29/5/26 06:58;Chi tiêu;Th_;Volcano Ads;1;Subscription NORDVPN *MONTHLY;-3,99;USD;Success;;;;
WLF15-WL-0130;28/5/26 23:12;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1967,43;USD;Success;;;;
WLF15-WL-0047;28/5/26 15:12;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);1857,88;USD;Success;;;;
WLF15-CD-0098;28/5/26 08:48;Chi tiêu;Th_;Zenith Main;3;Facebook Ads;-290,85;USD;Success;;;;
WLF15-CD-0054;28/5/26 05:52;Chi tiêu;Th_;Volcano Subs;2;Subscription CLOUDWAYS HOSTING;-16;USD;Success;;;;
WLF15-WL-0129;26/5/26 18:53;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1363,79;USD;Success;;;;
WLF15-CD-0175;26/5/26 15:10;Chi tiêu;Th_;Volcano Subs;2;Apple;-64,69;USD;Success;;;;
WLF15-WL-0031;26/5/26 11:53;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);751,45;USD;Success;;;;
WLF15-CD-0048;25/5/26 10:41;Chi tiêu;Th_;Zenith Main;3;Subscription FIGMA.COM;-15;USD;Success;;;;
WLF15-CD-0266;23/5/26 01:38;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;331,83;USD;Success;;;;
WLF15-WL-0128;23/5/26 01:38;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-331,83;USD;Success;;;;
WLF15-WL-0030;22/5/26 21:38;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);1021,88;USD;Success;;;;
WLF15-CD-0176;22/5/26 10:39;Chi tiêu;Th_;Zenith Main;3;Facebook Ads;-375,77;USD;Success;;;;
WLF15-CD-0042;21/5/26 22:03;Chi tiêu;Th_;Volcano Ads;1;Subscription CANVA* PRO MONTHLY;-12,99;USD;Success;;;;
WLF15-CD-0206;20/5/26 06:00;Chi tiêu;Th_;Volcano Trial;6;Trial card spend;-66,9;USD;Success;;;;
WLF15-WL-0127;20/5/26 04:07;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-2502,37;USD;Success;;;;
WLF15-WL-0046;19/5/26 16:07;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);2443,84;USD;Success;;;;
WLF15-CD-0131;19/5/26 02:09;Chi tiêu;Ví;Volcano EU;4;FX fee for SQ *THE COFFEE HOUSE;-0,36;EUR;Pending;;;;
WLF15-CD-0130;19/5/26 02:08;Chi tiêu;Th_;Volcano EU;4;The Coffee House;-35,55;EUR;Success;;;;
WLF15-CD-0035;19/5/26 02:05;Chi tiêu;Th_;Volcano Ads;1;Subscription PADDLE.NET* NOTION;-10;USD;Success;;;;
WLF15-CD-0265;17/5/26 15:34;N_p ti_n;Th_;Volcano EU;4;Top-up from wallet;354,04;EUR;Success;;;;
WLF15-WL-0126;17/5/26 15:34;Rút ti_n;Ví;-;;N_p vào th_ Volcano EU (VC04);-354,04;USD;Success;;;;
WLF15-WL-0125;17/5/26 09:34;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-350,63;USD;Success;;;;
WLF15-CD-0264;17/5/26 09:34;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;350,63;USD;Success;;;;
WLF15-CD-0116;17/5/26 09:30;Chi tiêu;Th_;Volcano Ads;1;AliExpress;-92,36;USD;Success;;;;
WLF15-WL-0124;17/5/26 08:51;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1947,47;USD;Success;;;;
WLF15-WL-0029;17/5/26 04:34;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Paypal (USD);803,13;USD;Success;;;;
WLF15-WL-0045;16/5/26 12:51;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Amazon (USD);1830,84;USD;Success;;;;
WLF15-CD-0028;16/5/26 08:15;Chi tiêu;Th_;Zenith Main;3;Subscription ADOBE *CREATIVE CLD;-54,99;USD;Success;;;;
WLF15-CD-0015;13/5/26 06:53;Chi tiêu;Th_;Volcano Subs;2;Subscription GOOGLE *YOUTUBEPREM;-13,99;USD;Success;;;;
WLF15-CD-0205;12/5/26 23:00;Chi tiêu;Th_;Volcano Trial;6;Trial card spend;-82,19;USD;Success;;;;
WLF15-CD-0149;12/5/26 03:50;Chi tiêu;Ví;Volcano EU;4;FX fee for GRAB* RIDE HCM;-0,09;EUR;Success;;;;
WLF15-CD-0148;12/5/26 03:49;Chi tiêu;Th_;Volcano EU;4;Grab;-8,8;EUR;Success;;;;
WLF15-WL-0123;10/5/26 18:07;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1723,73;USD;Success;;;;
WLF15-CD-0192;10/5/26 09:36;Chi tiêu;Th_;Volcano Subs;2;Apple;-42,65;USD;Success;;;;
WLF15-WL-0013;10/5/26 06:07;N_p ti_n;Ví;-;;Nh_n & chuy_n v_ ví: Payoneer (USD);1915,28;USD;Success;;;;
WLF15-CD-0209;10/5/26 04:03;Hoàn ti_n;Th_;Volcano Ads;1;Refund order;23,5;USD;Success;;;;
WLF15-CD-0009;10/5/26 02:27;Chi tiêu;Th_;Volcano Subs;2;Subscription Spotify P0F2K;-9,99;USD;Success;;;;
WLF15-CD-0195;9/5/26 19:27;Chi tiêu;Th_;Volcano Ads;1;Booking.com;-398,98;USD;Success;;;;
WLF15-CD-0164;8/5/26 23:06;Chi tiêu;Th_;Volcano Ads;1;Amazon;-236,53;USD;Success;;;;
WLF15-CD-0204;8/5/26 04:00;Chi tiêu;Th_;Volcano Trial;6;Trial card spend;-18,98;USD;Success;;;;
WLF15-CD-0003;7/5/26 08:48;Chi tiêu;Th_;Volcano Subs;2;Subscription NETFLIX.COM;-15,49;USD;Success;;;;
WLF15-CD-0021;4/5/26 04:51;Chi tiêu;Th_;Zenith Main;3;Subscription OPENAI *CHATGPT SUBSCR;-20;USD;Success;;;;
WLF15-CD-0203;4/5/26 00:00;Chi tiêu;Th_;Volcano Trial;6;Trial card spend;-73,88;USD;Success;;;;
WLF15-CD-0141;3/5/26 02:27;Chi tiêu;Th_;Volcano Ads;1;Shopee;-37,36;USD;Success;;;;
WLF15-CD-0221;2/5/26 23:00;N_p ti_n;Th_;Volcano Trial;6;Top-up from wallet;243,95;USD;Success;;;;
WLF15-WL-0061;2/5/26 23:00;Rút ti_n;Ví;-;;N_p vào th_ Volcano Trial (VC06);-243,95;USD;Success;;;;
WLF15-CD-0065;1/5/26 16:32;Chi tiêu;Th_;Volcano Ads;1;Steam;-15,15;USD;Success;;;;
WLF15-CD-0178;1/5/26 04:22;Chi tiêu;Ví;Volcano EU;4;FX fee for NAMECHEAP* DOMAIN;-0,59;EUR;Success;;;;
WLF15-CD-0177;1/5/26 04:21;Chi tiêu;Th_;Volcano EU;4;Namecheap;-59,12;EUR;Success;;;;
WLF15-CD-0140;30/4/26 04:35;Chi tiêu;Th_;Zenith Main;3;Amazon;-49,46;USD;Success;;;;
WLF15-CD-0074;29/4/26 10:50;Chi tiêu;Th_;Volcano Ads;1;Vultr;-9,87;USD;Success;;;;
WLF15-CD-0059;29/4/26 07:28;Chi tiêu;Th_;Volcano Ads;1;Subscription NORDVPN *MONTHLY;-3,99;USD;Success;;;;
WLF15-CD-0158;28/4/26 20:56;Chi tiêu;Th_;Volcano Ads;1;Grab;-23,62;USD;Success;;;;
WLF15-CD-0053;28/4/26 06:50;Chi tiêu;Th_;Volcano Subs;2;Subscription CLOUDWAYS HOSTING;-16;USD;Success;;;;
WLF15-WL-0122;28/4/26 04:00;Rút ti_n;Ví;-;;N_p vào th_ Volcano Ads (VC01);-351,65;USD;Success;;;;
WLF15-CD-0263;28/4/26 04:00;N_p ti_n;Th_;Volcano Ads;1;Top-up from wallet;351,65;USD;Success;;;;
WLF15-CD-0111;28/4/26 02:59;Chi tiêu;Th_;Volcano Ads;1;Uber;-5,61;USD;Success;;;;
WLF15-WL-0120;28/4/26 02:01;Rút ti_n;Ví;-;;Rút v_ ngân hàng ACB ****2231;-1889,98;USD;Success;;;;
